No,연번,역번호,호선,역명,역전화번호,역주소,경도,위도,상태
191,191,2629,6,삼각지,02-6311-6281,서울특별시 용산구 한강대로 지하 180 (한강로1가),126.973350106123,37.5343871667969,정좌표
192,192,2630,6,녹사평,02-6311-6291,서울특별시 용산구 녹사평대로 지하195 (용산동4가),126.987028369776,37.5348316213239,정좌표
193,193,2631,6,이태원,02-6311-6301,서울특별시 용산구 이태원로 지하177 (이태원동),126.99372285158,37.5344852784097,정좌표
194,194,2632,6,한강진,02-6311-6311,서울특별시 용산구 이태원로 지하287 (한남동),127.001747290812,37.5402937394678,정좌표
195,195,2633,6,버티고개,02-6311-6321,서울특별시 중구 다산로 지하38 (신당동),127.006885820967,37.5479959935172,정좌표
196,196,2634,6,약수,02-6311-6331,서울특별시 중구 다산로 지하 155 (신당동),127.011890634058,37.5575924615227,정좌표
197,197,2635,6,청구,02-6311-5371,서울특별시 중구 청구로 지하77 (신당동),127.013806324477,37.5602942282045,정좌표
198,198,2636,6,신당,02-6311-6351,서울특별시 중구 퇴계로 지하 431-1 (신당동),127.019540709601,37.5656548600944,정좌표
199,199,2637,6,동묘앞,02-6311-6361,서울특별시 종로구 종로 359 (숭인동),127.016751310993,37.5733725320023,정좌표
200,200,2638,6,창신,02-6311-6371,서울특별시 종로구 지봉로 지하112 (창신동),127.015211287465,37.5800169837871,정좌표
201,201,2639,6,보문,02-6311-6381,서울특별시 성북구 보문로 지하116 (보문동1가),127.019489320447,37.585549630325,정좌표
202,202,2640,6,안암,02-6311-6391,서울특별시 성북구 고려대로 지하89 (안암동5가),127.029212611018,37.5862805945856,정좌표
203,203,2641,6,고려대,02-6311-6401,서울특별시 성북구 종암로 지하1 (종암동),127.036285062663,37.5906497414279,정좌표
204,204,2642,6,월곡,02-6311-6411,서울특별시 성북구 월곡로 지하107 (하월곡동),127.041184438122,37.6014207563124,정좌표
205,205,2643,6,상월곡,02-6311-6421,서울특별시 성북구 화랑로 지하157 (상월곡동),127.04832695398,37.606264816935,정좌표
206,206,2644,6,돌곶이,02-6311-6431,서울특별시 성북구 화랑로 지하243 (석관동),127.056425445688,37.6105510451985,정좌표
207,207,2645,6,석계,02-6311-6441,서울특별시 노원구 화랑로 지하347-1 (월계동),127.066118440841,37.6150475556453,정좌표
208,208,2646,6,태릉입구,02-6311-7171,서울특별시 노원구 동일로 지하992-1 (공릉동),127.074995445538,37.6179055690967,정좌표
209,209,2647,6,화랑대,02-6311-6461,서울특별시 노원구 화랑로 지하510,127.083744826839,37.6198950132339,정좌표
210,210,2648,6,봉화산,02-6311-6471,서울특별시 중랑구 신내로 지하232 (신내동),127.090757882413,37.6176537488145,정좌표
211,211,2649,6,신내,02-6311-6481,서울특별시 중랑구 용마산로136길 33,127.102182965955,37.6130644200367,정좌표
212,212,2711,7,장암,02-6311-7091,경기도 의정부시 동일로 121 (장암동),127.05313504738,37.7001190687515,정좌표
213,213,2712,7,도봉산,02-6311-7101,서울특별시 도봉구 도봉로 964-40 (도봉동),127.046535393364,37.6891325326104,정좌표
