,No,시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,경도,위도,상태
10,12,구로구,11530000643,원진어린이집,국공립,정상,8241,서울특별시 구로구 고척로55길 21 (고척동 원진어린이집),02-2684-7444,02-2625-1608,wonjin7475,9,598.0,5,16,10,79,66,37.5058078,126.8556752,미운영,2021-05-01,,,,2021-07-23,일반,0,1,1,1,1,1,0,0,0,5,0,5,6,15,20,20,0,0,0,66,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,03:51.0,126.8556513,37.50587983,정좌표
11,13,강서구,11500000744,성민가정어린이집,가정,정상,7550,서울특별시 강서구 화곡로68길 115 101동 111호,02-6093-8643,,,3,47.0,0,4,3,17,5,37.56647,126.977963,,2021-04-19,,,,2021-07-23,일반,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,3,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,03:41.0,126.8603395,37.55733168,정좌표
12,14,마포구,11440000469,산들어린이집,국공립,정상,4124,서울특별시 마포구 대흥로24길 24 마포프레스티지자이 1단지 내 104동 앞,02-2088-7212,02-2088-2629,,6,206.0,1,17,13,65,65,37.55386761,126.9485751,미운영,2021-04-09,,,,2021-07-23,일반,2,2,2,1,0,0,0,1,0,8,6,10,14,15,0,0,0,20,0,65,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,03:20.0,126.9472462,37.55457977,인근좌표
13,15,마포구,11440000470,해들어린이집,국공립,정상,4121,서울특별시 마포구 숭문16다길 10-5 마포프레스티지자이 2단지 내 203동 옆,02-716-2007,,,2,80.0,1,11,8,30,19,37.56647,126.977963,미운영,2021-04-09,,,,2021-07-23,일반,2,2,2,0,0,0,0,0,0,6,2,6,11,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,03:21.0,126.9485993,37.55523173,인근좌표
14,16,종로구,11110000180,로카키즈어린이집,직장,정상,3184,서울특별시 종로구 새문안로2길 10 1층,02-739-8042,,,3,67.0,0,12,6,25,8,37.56870364,126.971979,미운영,2021-04-01,,,,2021-07-23,일반,1,1,1,0,0,0,0,0,0,3,1,3,4,0,0,0,0,0,0,8,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,01:10.0,126.971984,37.56870227,정좌표
15,17,송파구,11710000809,위례봄어린이집,가정,정상,5853,서울특별시 송파구 위례광장로 121 2414동 101호,02-400-8544,,dana3918.wixsite.com/webom,3,55.0,0,4,7,20,19,37.47531087,127.1387746,미운영,2021-04-01,,,,2021-07-23,일반,2,0,1,0,0,0,2,0,0,5,6,0,7,0,0,0,6,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,05:02.0,127.1386229,37.47478412,정좌표
16,18,양천구,11470000623,구립 아이샘어린이집,국공립,정상,8072,서울특별시 양천구 중앙로43길 14 래미안목동아델리체,02-6953-2911,02-6956-3723,,3,80.0,1,12,8,30,24,37.51704502,126.8515927,,2021-04-01,,,,2021-07-23,일반,3,2,0,0,0,0,1,0,0,6,9,10,0,0,0,0,5,0,0,24,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,03:30.0,126.8507665,37.51697358,정좌표
17,19,양천구,11470000624,구립 아이숲어린이집,국공립,정상,8072,서울특별시 양천구 중앙로43길 14 래미안목동아델리체,02-2605-0061,02-2605-1161,,4,120.0,1,12,12,45,40,37.51913402,126.8523352,미운영,2021-04-01,,,,2021-07-23,일반,2,2,4,0,0,0,0,0,0,8,6,10,24,0,0,0,0,0,0,40,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,03:30.0,126.8507665,37.51697358,정좌표
18,20,서대문구,11410000374,숲속별어린이집,국공립,정상,3610,서울특별시 서대문구 홍은중앙로3길 9 북한산두산위브아파트,02-395-9565,,,4,80.0,1,9,8,25,23,37.59821304,126.9452097,미운영,2021-04-01,,,,2021-07-23,일반,1,3,1,0,0,0,0,0,0,5,3,14,6,0,0,0,0,0,0,23,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,03:10.0,126.9459012,37.59706517,정좌표
19,21,강남구,11680000499,도토리소풍넥슨 대치어린이집,직장,정상,6187,서울특별시 강남구 역삼로90길 25,02-565-7900,,https://blog.naver.com/dotorisopoong,5,198.0,1,35,10,49,8,37.56647,126.977963,미운영,2021-03-30,,,,2021-07-23,일반,0,1,2,0,2,0,0,0,0,5,0,1,4,0,3,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,04:51.0,127.0627513,37.50262433,정좌표
20,22,강남구,11680000498,쿠키즈(coukids) 어린이집,직장,정상,6212,서울특별시 강남구 테헤란로 332 HJ타워 3층,02-6204-2114,,,4,188.0,0,18,12,49,13,37.50389042,127.0481674,미운영,2021-03-26,,,,2021-07-23,일반,0,3,2,1,0,0,0,1,0,7,0,4,3,3,0,0,0,3,0,13,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,04:51.0,127.048192,37.50377402,정좌표
21,23,영등포구,11560000486,라온어린이집,국공립,정상,7440,서울특별시 영등포구 신길로 29,02-842-9376,,,4,97.0,0,16,11,35,25,37.49381366,126.9023439,미운영,2021-03-24,,,,2021-07-23,일반,3,3,1,0,0,0,0,0,0,7,6,15,4,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,04:10.0,126.9076275,37.49431606,정좌표
22,24,서대문구,11410000373,늘푸른어린이집,국공립,정상,3609,서울특별시 서대문구 홍은중앙로1길 100,02-6956-1530,070-4855-1530,,3,149.0,1,10,7,20,20,37.59990685,126.9451009,미운영,2021-03-12,,,,2021-07-23,일반,2,2,1,0,0,0,0,0,0,5,6,7,7,0,0,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,03:10.0,126.9443,37.59988785,정좌표
23,25,강서구,11500000742,근로복지공단 등촌어린이집,법인?단체등,정상,7580,서울특별시 강서구 강서로56나길 128,02-2659-3370,010-2659-3310,https://www.kcomwel.or.kr/kids-deungchon/,5,198.0,1,20,10,73,22,37.56647,126.977963,미운영,2021-03-05,,,,2021-07-23,일반,2,2,1,0,0,0,0,0,0,5,6,9,7,0,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,03:41.0,126.8440764,37.56481822,인근좌표
24,26,동작구,11590000443,해오름어린이집,가정,정상,7026,서울특별시 동작구 상도로 421 현대아파트 108-103,02-888-8646,02-878-8646,,3,54.0,1,4,5,19,10,37.49276103,126.9585397,미운영,2021-03-02,,,,2021-07-23,일반,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04:21.0,126.9585989,37.49311623,정좌표
25,27,노원구,11350001056,포레나아이어린이집,국공립,정상,1677,서울특별시 노원구 노원로38길 76,02-937-3263,02-937-3264,,6,255.0,0,16,16,79,74,37.66451267,127.062665,미운영,2021-03-01,,,,2021-07-23,일반,0,3,2,3,0,0,0,1,0,9,0,15,14,30,0,0,0,15,0,74,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,02:52.0,127.061883,37.66448619,정좌표
26,28,구로구,11530000642,현대열린어린이집,국공립,정상,8329,서울특별시 구로구 개봉로20길 6 현대아파트 1단지내(개봉역입구쪽),02-6091-1004,,,5,164.0,1,10,13,62,62,37.4930849,126.8588207,미운영,2021-03-01,,,,2021-07-23,야간연장,0,1,2,1,1,0,0,1,0,6,0,5,13,13,13,0,0,18,0,62,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,03:52.0,126.8570629,37.49192558,정좌표
27,29,금천구,11545000339,구립지혜어린이집,국공립,정상,8624,서울특별시 금천구 시흥대로76길 19 골드빌 101호,02-891-7942,02-891-7942,,3,85.0,1,4,7,20,13,37.45831234,126.9004912,미운영,2021-03-01,,,,2021-07-23,야간연장,2,3,0,0,0,0,1,0,0,6,6,7,0,0,0,0,0,0,0,13,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,04:00.0,126.9005454,37.45835782,정좌표
28,30,중랑구,11260000472,신나라어린이집,국공립,정상,2132,서울특별시 중랑구 봉우재로2길 22,02-432-5799,02-434-5799,,6,301.0,2,11,10,54,40,37.58835452,127.0743197,미운영,2021-03-01,,,,2021-07-23,일반,0,2,2,1,0,0,0,1,0,6,0,10,12,7,0,0,0,11,0,40,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,02:11.0,127.0743034,37.58836385,정좌표
29,31,양천구,11470000621,구립 해든어린이집,국공립,정상,8102,서울특별시 양천구 목동남로4길 100,02-6956-2454,,,3,87.0,1,9,11,30,30,37.51031608,126.8701213,미운영,2021-03-01,,,,2021-07-23,야간연장,3,3,1,0,0,0,0,0,0,7,9,14,7,0,0,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:31.0,126.8698619,37.51026044,정좌표
30,32,서초구,11650000453,서초구립 허니비어린이집,국공립,정상,6567,서울특별시 서초구 서초대로1길 30 105동 101호(방배동 현대아파트),02-535-7957,050-8907-0633,,3,56.0,0,4,9,19,19,37.48827118,126.983859,미운영,2021-03-01,,,,2021-07-23,야간연장,1,0,1,0,0,0,2,0,0,4,3,0,7,0,0,0,9,0,0,19,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,04:40.0,126.984093,37.48925532,정좌표
31,33,동작구,11590000441,구립트윈파크어린이집,국공립,정상,6902,서울특별시 동작구 노량진로23가길 23 래미안트윈파크아파트 관리동,02-3280-2320,,,6,180.0,1,14,14,49,43,37.5143213,126.9506213,미운영,2021-03-01,,,,2021-07-23,일반,2,3,3,1,0,0,0,0,0,9,6,14,18,5,0,0,0,0,0,43,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,04:20.0,126.9498896,37.51464425,정좌표
32,34,양천구,11470000622,구립 아인어린이집,국공립,정상,7963,서울특별시 양천구 목동중앙남로3길 23-1,02-2647-8798,,,3,120.0,0,11,4,42,7,37.53561205,126.8663862,미운영,2021-03-01,,,,2021-07-23,장애아통합,0,1,0,0,0,0,1,0,0,2,0,4,0,0,0,0,3,0,0,7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,03:30.0,126.8663625,37.53572069,인근좌표
33,35,마포구,11440000467,새빛어린이집,국공립,정상,4147,서울특별시 마포구 백범로31길 8 202동 1층,02-6951-1317,02-6951-1316,,3,120.0,1,9,9,30,30,37.5451735,126.9497919,미운영,2021-03-01,,,,2021-07-23,일반,2,2,2,0,0,0,0,0,0,6,6,10,14,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,03:20.0,126.9498046,37.54518849,정좌표
34,36,서초구,11650000452,서초구립 서초3동하나어린이집,국공립,정상,6667,서울특별시 서초구 명달로11길 16,02-523-6777,02-523-6777,,6,232.0,2,20,13,70,53,37.48336174,127.0034174,미운영,2021-03-01,,,,2021-07-23,일반,0,3,3,2,0,0,0,1,0,9,0,15,20,11,0,0,0,7,0,53,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,04:40.0,127.0031189,37.48346334,정좌표
35,37,동작구,11590000442,구립아름어린이집,국공립,정상,7032,서울특별시 동작구 양녕로 220 상도역롯데캐슬아파트 관리동,02-821-2021,02-821-2022,http://구립아름어린이집.com,5,142.0,1,16,13,48,43,37.5006959,126.9455864,미운영,2021-03-01,,,,2021-07-23,일반,4,2,2,1,0,0,0,0,0,9,9,10,14,10,0,0,0,0,0,43,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,04:20.0,126.9472777,37.50123126,정좌표
36,38,도봉구,11320000550,늘봄어린이집,국공립,정상,1367,서울특별시 도봉구 우이천로 487-1,02-996-5311,,,9,459.0,3,16,9,79,41,37.6565704,127.0153218,미운영,2021-03-01,,,,2021-07-23,일반,0,2,1,0,0,1,1,1,0,6,0,7,6,0,0,16,2,10,0,41,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,02:40.0,127.0152977,37.65658854,정좌표
37,39,도봉구,11320000554,도봉숲어린이집,국공립,정상,1330,서울특별시 도봉구 마들로 684-10,02-956-7474,,,8,368.0,1,13,14,79,70,37.56647,126.977963,미운영,2021-03-01,,,,2021-07-23,일반,0,2,2,1,2,1,0,0,0,8,0,4,13,12,21,20,0,0,0,70,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,02:40.0,127.0470021,37.67102089,정좌표
38,40,서초구,11650000451,서초구립 한신서래어린이집,국공립,정상,6578,서울특별시 서초구 사평대로28길 31 101동 108호,02-533-9631,,,4,58.0,1,8,7,20,15,37.49860683,127.0008708,미운영,2021-03-01,,,,2021-07-23,일반,2,2,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,04:40.0,127.0009981,37.49897581,정좌표
39,41,도봉구,11320000551,느티나무어린이집,국공립,정상,1355,서울특별시 도봉구 도당로13바길 19,02-3493-0228,02-3493-2228,,5,276.0,3,8,12,58,46,37.66753799,127.0347142,미운영,2021-03-01,,,,2021-07-23,일반,1,2,2,1,0,0,0,1,0,7,3,10,10,11,0,0,0,12,0,46,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,02:40.0,127.0346893,37.66756592,정좌표
40,42,마포구,11440000468,해솔어린이집,국공립,정상,4065,서울특별시 마포구 서강로 75-16 창전동 청년주택 1층,02-6956-0015,02-6956-0150,,3,129.0,0,9,11,30,26,37.54960616,126.931377,미운영,2021-03-01,,,,2021-07-23,일반,2,2,1,0,0,0,2,0,0,7,6,10,0,0,0,0,10,0,0,26,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:21.0,126.9313203,37.5496392,정좌표
41,43,구로구,11530000641,꿈동산어린이집,국공립,정상,8328,서울특별시 구로구 남부순환로95길 16 101동 101호(개봉동 삼호아파트),02-2618-9382,,,3,85.0,0,4,8,19,18,37.49407618,126.8589658,미운영,2021-03-01,,,,2021-07-23,야간연장,0,3,1,0,0,0,2,0,0,6,0,9,7,0,0,0,2,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,03:51.0,126.8573068,37.49456571,정좌표
42,44,양천구,11470000620,구립 목3동공원어린이집,국공립,정상,7952,서울특별시 양천구 목동중앙남로16나길 46,02-2645-3220,02-2652-3220,,4,166.0,0,19,13,59,48,37.54438373,126.864809,미운영,2021-03-01,,,,2021-07-23,야간연장,3,3,2,1,0,0,0,0,0,9,9,14,14,11,0,0,0,0,0,48,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,03:30.0,126.8647978,37.5443708,정좌표
43,45,도봉구,11320000552,봄날어린이집,국공립,정상,1467,서울특별시 도봉구 덕릉로53길 55,02-6368-0825,02-6397-0825,https://cafe.naver.com/dobomnal,4,133.0,0,9,1,43,0,37.63947236,127.0348031,미운영,2021-03-01,,,,2021-07-23,일반,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,02:41.0,127.0348242,37.63947975,정좌표
44,46,강서구,11500000741,구립 라온어린이집,국공립,정상,7735,서울특별시 강서구 곰달래로53길 112,02-2655-0644,070-7836-9078,,6,180.0,1,8,11,67,44,37.53603636,126.8565433,미운영,2021-03-01,,,,2021-07-23,일반,0,2,2,0,0,0,1,2,0,7,0,9,13,0,0,0,0,22,0,44,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:41.0,126.8565464,37.53604618,정좌표
45,47,도봉구,11320000553,온유한어린이집,국공립,정상,1475,서울특별시 도봉구 덕릉로60자길 22,02-906-1842,02-906-1843,,6,246.0,1,10,9,43,19,37.56647,126.977963,미운영,2021-03-01,,,,2021-07-23,일반,0,0,0,0,0,0,4,1,0,5,0,0,0,0,0,0,9,10,0,19,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,02:41.0,127.0416066,37.63807425,정좌표
46,48,동대문구,11230000142,태양하나어린이집,국공립,정상,2592,서울특별시 동대문구 황물로 32,02-2245-9544,02-2245-9544,,7,570.0,1,25,10,125,78,37.57399227,127.045324,미운영,2021-03-01,,,,2021-07-23,야간연장휴일보육,0,0,0,2,2,1,0,0,0,5,0,0,0,25,34,19,0,0,0,78,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,02:01.0,127.0453499,37.57406868,정좌표
47,49,강동구,11740000541,자이숲어린이집,가정,정상,5275,서울특별시 강동구 상일로 55 119동 103호(상일동 고덕자이),02-441-9002,,,4,51.0,0,0,6,19,19,37.55239443,127.1710319,,2021-02-26,,,,2021-07-23,일반,1,2,1,0,0,0,0,0,0,4,3,10,6,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,05:11.0,127.1720427,37.55177111,정좌표
48,50,강남구,11680000497,삼성서울병원2 어린이집,직장,정상,6341,서울특별시 강남구 양재대로55길 12,02-3411-3140,02-3411-3143,,7,362.0,2,38,22,120,51,37.49233424,127.0884638,미운영,2021-02-25,,,,2021-07-23,일반,0,9,4,2,0,0,0,0,0,15,0,25,17,9,0,0,0,0,0,51,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,22.0,04:51.0,127.0884534,37.49233632,정좌표
49,51,영등포구,11560000485,KB여의도어린이집,직장,정상,7331,서울특별시 영등포구 국제금융로8길 26 1층,02-6332-5051,02-6332-5052,http://www.puruni.com/kbyeouido,4,160.0,1,16,12,49,33,37.52084865,126.9279023,미운영,2021-02-24,,,,2021-07-23,일반,0,3,2,0,0,2,0,2,0,9,0,9,10,0,0,4,0,10,0,33,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,04:10.0,126.9278941,37.52086843,정좌표
50,52,송파구,11710000808,서울아산병원제2어린이집,직장,정상,5535,서울특별시 송파구 강동대로 13,02-2045-3935,,,16,463.0,1,42,36,144,134,37.529563,127.1107075,미운영,2021-02-19,,,,2021-07-23,일반,0,13,8,4,0,0,0,0,0,25,0,46,48,40,0,0,0,0,0,134,1.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,36.0,05:02.0,127.1099712,37.52892791,정좌표
